y,x1,x2
1,0.70734,0.13609
1,2.82796,-0.76393
1,1.70782,0.3164
1,2.53217,1.04611
1,0.42284,0.83053
0,0.33883,3.90652
0,3.35941,5.24827
0,0.46662,3.86571
1,2.5184,1.17676
1,2.00956,1.11817
0,0.8186,6.56051
0,1.74293,4.66008
1,2.33955,2.64033
1,3.3744,0.01524
0,1.11822,3.98446
1,0.61033,-0.31288
0,1.49733,3.728
1,1.58842,-0.51924
1,1.99913,0.89628
0,1.74952,3.11991
1,1.00064,1.71791
0,1.70536,4.43277
0,1.55479,4.65344
0,0.25667,3.49079
0,-0.05797,4.98538
1,3.07706,0.34512
0,0.34195,3.94105
0,-0.07228,2.88377
1,0.37405,0.00869
0,-0.60667,4.91417
1,0.10346,0.23777
0,3.23558,4.26153
1,1.5864,-1.30378
1,3.08968,-0.09855
1,3.90486,0.6835
1,3.32035,1.10916
0,0.03182,3.89374
0,2.62441,4.46802
0,1.6015,2.70173
0,0.91464,4.19648
1,2.58431,1.32029
1,1.83101,0.59541
1,-0.03934,1.02139
0,0.52074,4.32127
0,-0.33026,5.96192
0,0.84339,4.006
1,1.12248,2.14098
1,2.50776,0.99556
1,1.1963,-0.00128
0,0.30381,3.94423
1,1.7796,0.18794
1,3.34125,-0.60933
0,2.84383,5.20983
0,2.47035,4.09863
0,1.37228,3.21073
0,0.85811,3.62361
0,0.58894,4.00148
1,1.50956,-0.98692
1,2.0639,1.42467
1,2.38584,1.84691
0,-0.24917,5.14815
0,0.27157,5.24705
0,-0.00924,2.83195
1,1.54775,-0.15422
0,0.84032,5.44068
1,1.3988,-1.93689
1,2.29009,3.02982
0,-0.1712,3.86597
0,1.6164,2.68683
0,2.10291,3.22386
1,1.9978,0.50645
1,-0.31432,1.76172
0,2.84383,3.32651
1,2.99774,0.63007
0,-0.51499,4.74318
1,0.72306,-1.07096
0,1.8331,3.65276
0,1.10318,4.70578
1,1.50096,0.42703
1,1.81325,2.41592
1,1.83266,-0.01542
0,0.21213,2.866
0,1.1537,3.90201
0,0.76937,5.18397
1,1.83573,-0.18637
1,1.55245,3.31012
0,1.18455,5.28043
1,3.57526,2.61725
0,0.60709,4.06441
0,0.34818,3.82276
1,2.27911,1.22729
0,2.47075,2.2338
0,1.14294,4.93882
0,1.59035,5.22599
0,0.70854,3.17578
1,3.54462,1.41897
0,0.0808,4.69069
0,-0.18109,3.9915
0,-0.8668,3.82581
1,2.29739,0.00894
1,2.28088,1.34738
1,1.66004,-0.26176
0,1.27451,5.63017
1,2.99831,-1.84201
1,1.13726,1.15016
0,-0.77962,4.75472
0,0.68443,3.5423
0,1.72346,3.11484
1,2.72584,0.19016
1,4.17206,-0.71321
1,0.28673,1.25315
0,2.93218,4.69388
1,4.55247,-1.34766
0,3.13951,5.64032
1,2.87559,2.25761
0,1.47001,4.18768
1,2.34217,-1.42293
0,0.9341,4.0169
0,-1.57672,4.95741
1,2.87685,0.90296
0,-1.05441,6.36828
0,0.2817,4.15415
1,0.31291,-0.40558
0,-0.15056,3.57311
1,1.55625,0.91901
1,3.15161,0.66345
1,2.91786,-1.75796
0,0.32386,3.91283
1,2.86979,0.95659
0,1.12031,5.75806
1,2.0195,3.27841
1,1.68012,-0.32853
0,1.13122,4.68195
1,1.92421,2.03074
1,3.38305,0.79638
0,2.20656,5.50617
1,1.67062,0.45383
1,3.28014,0.96252
1,1.60396,1.16335
1,1.08416,1.21248
0,1.61958,2.73316
0,0.87305,4.71439
1,2.51268,-0.06695
0,0.37895,4.06587
1,4.75149,0.82374
1,1.83832,1.34306
